island,species,logarea,elevation,nearest,scruz,adjacent
Baltra,58,3.22246936,346,0.6,0.6,1.84
Bartolome,31,0.21511138,109,0.6,26.3,572.33
Caldwell,3,-1.560647748,114,2.8,58.7,0.78
Champion,25,-2.302585093,46,1.9,47.4,0.18
Coamano,2,-2.995732274,77,1.9,1.9,903.82
Daphne.Major,18,-1.078809661,119,8,8,1.84
Daphne.Minor,24,-2.525728644,93,6,12,0.34
Darwin,10,0.845868268,168,34.1,290.2,2.85
Eden,8,-3.506557897,71,0.4,0.4,17.95
Enderby,2,-1.714798428,112,2.6,50.2,0.1
Espanola,97,4.065087381,198,1.1,88.3,0.57
Fernandina,93,6.452821527,1494,4.3,95.3,4669.32
Gardner1,58,-0.562118918,49,1.1,93.1,58.27
Gardner2,5,-0.248461359,227,4.6,62.2,0.21
Genovesa,40,2.853592506,76,47.4,92.2,129.49
Isabela,347,8.44876873,1707,0.7,28.1,634.49
Marchena,51,4.863603658,343,29.1,85.9,59.56
Onslow,2,-4.605170186,25,3.3,45.9,0.1
Pinta,104,4.086984208,777,29.1,119.6,129.49
Pinzon,108,2.887590115,458,10.7,10.7,0.03
Las.Plazas,12,-1.46967597,94,0.5,0.6,25.09
Rabida,70,1.587192303,367,4.4,24.4,572.33
SanCristobal,280,6.312859403,716,45.2,66.6,0.57
SanSalvador,237,6.349715748,906,0.2,19.8,4.89
SantaCruz,444,6.806630226,864,0.6,0,0.52
SantaFe,62,3.18138162,259,16.5,16.5,0.52
SantaMaria,285,5.141195611,640,2.6,49.2,0.1
Seymour,44,0.609765572,147,0.6,9.6,25.09
Tortuga,16,0.21511138,186,6.8,50.9,17.95
Wolf,21,1.047318994,253,34.1,254.7,2.33
