"","treatment","stress","seeds"
"1","control","dry",16
"2","control","dry",21
"3","control","dry",16
"4","control","dry",16
"5","control","dry",12
"6","control","dry",19
"7","control","dry",14
"8","control","dry",18
"9","control","dry",20
"10","control","dry",15
"11","control","dry",21
"12","control","dry",17
"13","control","dry",24
"14","control","dry",15
"15","control","dry",18
"16","control","moist",20
"17","control","moist",17
"18","control","moist",16
"19","control","moist",17
"20","control","moist",16
"21","control","moist",26
"22","control","moist",19
"23","control","moist",18
"24","control","moist",12
"25","control","moist",18
"26","control","moist",12
"27","control","moist",17
"28","control","moist",12
"29","control","moist",20
"30","control","moist",16
"31","scissors","dry",26
"32","scissors","dry",18
"33","scissors","dry",13
"34","scissors","dry",14
"35","scissors","dry",28
"36","scissors","dry",21
"37","scissors","dry",18
"38","scissors","dry",22
"39","scissors","dry",21
"40","scissors","dry",18
"41","scissors","dry",19
"42","scissors","dry",22
"43","scissors","dry",13
"44","scissors","dry",13
"45","scissors","dry",16
"46","scissors","moist",11
"47","scissors","moist",20
"48","scissors","moist",13
"49","scissors","moist",19
"50","scissors","moist",19
"51","scissors","moist",15
"52","scissors","moist",15
"53","scissors","moist",15
"54","scissors","moist",12
"55","scissors","moist",14
"56","scissors","moist",13
"57","scissors","moist",17
"58","scissors","moist",15
"59","scissors","moist",16
"60","scissors","moist",22
"61","caterpillar","dry",6
"62","caterpillar","dry",16
"63","caterpillar","dry",10
"64","caterpillar","dry",5
"65","caterpillar","dry",8
"66","caterpillar","dry",4
"67","caterpillar","dry",17
"68","caterpillar","dry",13
"69","caterpillar","dry",10
"70","caterpillar","dry",13
"71","caterpillar","dry",9
"72","caterpillar","dry",8
"73","caterpillar","dry",9
"74","caterpillar","dry",10
"75","caterpillar","dry",9
"76","caterpillar","moist",10
"77","caterpillar","moist",17
"78","caterpillar","moist",10
"79","caterpillar","moist",12
"80","caterpillar","moist",16
"81","caterpillar","moist",15
"82","caterpillar","moist",13
"83","caterpillar","moist",14
"84","caterpillar","moist",17
"85","caterpillar","moist",9
"86","caterpillar","moist",7
"87","caterpillar","moist",9
"88","caterpillar","moist",13
"89","caterpillar","moist",11
"90","caterpillar","moist",15
