d;h;stem
30.3;25;297.3
19;19;90.9
27.9;22.3;253.1
22.3;19.1;127.8
20.6;21;149.7
17.6;20.7;105.9
23.7;21.2;175.1
17.6;20.6;98.7
19.1;20.6;120.3
11.2;15.9;29.7
16.8;19.5;85.2
19.6;20.9;132.6
14.4;15.8;52.2
17.8;16.8;67.7
9.4;14.2;22.9
16.3;17;73.9
11.5;14;26
19;16.2;85.3
14.9;14.4;41.8
10.4;12.7;21.1
16.5;17.4;75.6
14.7;17.7;63.3
10.9;14.2;25.2
14.6;17.2;60.1
16.3;16.8;64.2
18.5;18.4;84.5
11.5;12.9;26.9
22.5;19.6;120.6
8.9;12.1;15.3
9.8;12.2;20.7
11.9;14.5;34.3
16.4;17.6;62.3
11.2;13.3;24.7
14.4;16.5;51
22.8;19.3;134.5
20.3;18.5;105.9
17.9;17.9;83.1
16;19.4;78.9
13.6;16.1;46.9
22.7;22.1;139.3
22.5;21.5;124.3
20.5;19.1;111.1
18.3;18.7;79.7
10.8;14.4;23.4
37;27;488.793
25;20;144.459
25;20;172.925
7;5.4;5.302
7;5.4;6.023
15;14;40.279
15;14;47.204
5;4.9;2.639
5;4.9;3.468
15.5;16.9;67.2
18.6;22.8;154.5
22.4;24.6;221.4
27.9;27.2;310.4
25;24.9;214.7
21.2;23.8;166
26.8;28.4;311
34.5;28.6;470
37.6;31.7;599.7
40.8;33.3;612.6
20.9;22.9;161.6
24.1;25.8;208.3
28.1;30.2;348.4
31.3;28.5;360.6
35.2;30.2;431.5
40.2;32.1;584.2
43.2;33.4;804.6
47.2;33.2;790.8
